,month,year,numberOfAppointments,numberOfCalls,callTimeMinute,numberofStatuses,hoursSinceCall,isCust
0,7,2019,1,3,22.97,5,188,0
1,7,2019,12,23,51.28,14,187,0
2,8,2019,1,16,31.93,9,177,0
3,8,2019,9,32,130.18,7,173,1
4,8,2019,5,9,17.02,6,171,0
5,8,2019,2,27,70.07,9,165,0
6,8,2019,1,12,21.47,4,162,0
7,8,2019,17,46,93.93,14,144,0
8,8,2019,2,24,193.6,4,142,1
9,8,2019,3,5,32.85,2,142,0
10,8,2019,2,3,18.43,2,122,0
11,8,2019,10,16,16.05,10,94,0
12,8,2019,3,4,74.48,3,87,0
13,8,2019,6,19,49.58,13,80,0
14,8,2019,2,8,31.1,3,52,0
15,8,2019,1,13,135.2,3,51,1
16,8,2019,3,12,25.08,3,36,0
17,8,2019,9,26,22.65,10,35,0
18,8,2019,7,5,105.88,3,24,0
19,8,2019,8,10,119.23,5,23,1
20,8,2019,8,30,42.18,17,22,0
21,8,2019,4,28,113.27,21,46,0
22,8,2019,5,25,32.08,10,10,0
23,8,2019,11,13,44.27,9,12,0
24,8,2019,1,4,10.77,3,4,0
25,8,2019,32,55,64.05,17,15,0
26,8,2019,2,4,15.43,3,14,0
27,8,2019,1,2,14.3,4,1,0
28,8,2019,10,80,274.62,22,0,0
29,7,2019,4,6,12.23,1,261,0
30,7,2019,7,8,4.75,4,286,0
31,7,2019,15,17,80.52,3,347,0
32,7,2019,5,9,8.33,8,479,0
33,7,2019,2,3,3.7,3,595,0
34,7,2019,1,9,12.3,3,652,0
35,7,2019,4,7,4.45,2,678,0
36,7,2019,4,7,4.0,2,707,0
37,7,2019,1,8,21.47,7,970,0
38,7,2019,3,5,4.4,1,939,0
39,6,2019,9,15,9.95,3,1189,0
40,6,2019,1,36,18.98,15,1135,0
41,6,2019,2,9,5.4,3,1246,0
42,6,2019,2,20,9.48,15,1505,0
43,6,2019,2,5,2.32,4,1316,0
44,6,2019,10,16,10.57,5,1358,0
45,6,2019,4,11,7.25,3,1290,0
46,6,2019,5,6,16.63,3,1427,0
47,6,2019,2,6,45.15,7,1467,0
48,6,2019,10,30,168.23,13,1898,0
49,5,2019,3,3,7.85,1,1901,0
50,5,2019,8,10,208.78,3,2029,0
51,5,2019,2,7,3.98,5,2372,0
52,8,2019,9,10,140.65,10,0,0
53,8,2019,2,31,84.08,5,0,0
54,8,2019,4,27,110.17,8,28,0
55,8,2019,16,19,93.23,2,21,1
56,8,2019,1,24,38.12,15,18,0
57,8,2019,7,25,30.02,8,18,0
58,8,2019,6,7,103.35,4,0,0
59,8,2019,2,12,135.33,5,3,1
60,8,2019,3,13,39.28,4,2,0
61,8,2019,8,32,63.3,14,9,0
62,8,2019,7,25,64.03,7,20,0
63,8,2019,5,18,265.35,6,126,0
64,8,2019,2,2,97.5,4,212,0
65,8,2019,13,20,70.02,8,767,0
66,8,2019,2,7,113.87,6,360,0
67,7,2019,1,26,282.43,4,387,1
68,7,2019,2,51,349.37,14,614,1
69,7,2019,1,21,46.38,8,699,1
70,7,2019,2,51,151.83,5,936,1
71,7,2019,1,20,3.27,12,1544,0
72,6,2019,2,11,85.35,2,1730,0
73,6,2019,6,81,183.28,11,1261,0
74,5,2019,1,14,7.28,4,2467,0
75,5,2019,1,8,12.6,5,2238,0
76,5,2019,3,20,48.73,15,2357,0
77,5,2019,4,23,19.5,16,2400,0
78,5,2019,1,6,12.08,3,2818,0
79,5,2019,4,25,89.18,16,2840,0
80,5,2019,2,10,84.32,4,2734,0
81,5,2019,1,21,68.42,13,2816,0
82,4,2019,3,8,106.32,5,2832,0
83,4,2019,3,30,74.35,14,2871,0
84,4,2019,4,4,9.77,5,2899,0
85,4,2019,2,36,41.53,12,2908,0
86,4,2019,3,15,123.02,5,3247,0
87,3,2019,4,23,44.62,7,3989,0
88,3,2019,3,12,41.5,5,3660,0
89,3,2019,1,26,184.18,19,3702,0
90,3,2019,3,4,7.32,2,3773,0
91,3,2019,1,7,4.8,4,3814,0
92,3,2019,2,27,56.23,12,3801,0
93,3,2019,1,9,103.68,4,3936,0
94,2,2019,2,22,22.97,9,4324,0
95,2,2019,1,2,10.03,1,4325,0
96,1,2019,1,3,32.33,3,5235,0
97,8,2019,1,7,43.3,7,88,0
98,8,2019,1,3,51.48,3,481,0
99,8,2019,2,8,13.5,4,849,0
100,8,2019,6,25,11.03,8,849,0
101,7,2019,2,3,8.95,3,750,0
102,7,2019,7,34,50.0,10,1220,0
103,7,2019,4,28,79.77,14,7626,0
104,7,2019,2,20,10.92,7,1561,0
