lead_id,month,year,state,numberOfAppointments
281,7,2019,Arkansas,1
282,7,2019,Arkansas,12
288,8,2019,Arkansas,1
291,8,2019,Arkansas,9
292,8,2019,Arkansas,5
299,8,2019,Arkansas,2
301,8,2019,Arkansas,1
317,8,2019,Arkansas,17
321,8,2019,Arkansas,2
322,8,2019,Missouri,3
324,8,2019,Arkansas,2
326,8,2019,Arkansas,10
329,8,2019,Missouri,3
335,8,2019,Missouri,6
347,8,2019,Missouri,2
350,8,2019,Missouri,1
358,8,2019,Missouri,3
360,8,2019,Arkansas,9
369,8,2019,Arkansas,7
371,8,2019,Arkansas,8
375,8,2019,Arkansas,8
391,8,2019,Arkansas,4
393,8,2019,Arkansas,5
403,8,2019,Missouri,11
406,8,2019,Arkansas,1
413,8,2019,Arkansas,32
414,8,2019,Arkansas,2
420,8,2019,Arkansas,1
421,8,2019,Arkansas,10
424,7,2019,Missouri,4
425,7,2019,Arkansas,7
426,7,2019,Missouri,15
427,7,2019,Arkansas,5
428,7,2019,Arkansas,2
430,7,2019,Arkansas,1
431,7,2019,Missouri,4
432,7,2019,Arkansas,4
433,7,2019,Arkansas,1
436,7,2019,Oklahoma,3
438,6,2019,Oklahoma,9
439,6,2019,Oklahoma,1
440,6,2019,,2
441,6,2019,Arkansas,2
442,6,2019,Missouri,2
443,6,2019,,10
445,6,2019,Arkansas,4
446,6,2019,Arkansas,5
447,6,2019,Arkansas,2
448,6,2019,Arkansas,10
449,5,2019,Arkansas,3
450,5,2019,Arkansas,8
451,5,2019,,2
475,8,2019,Arkansas,9
476,8,2019,Arkansas,2
484,8,2019,Arkansas,4
488,8,2019,Arkansas,16
490,8,2019,Arkansas,1
496,8,2019,Arkansas,7
497,8,2019,Arkansas,6
498,8,2019,Arkansas,2
505,8,2019,Arkansas,3
691,8,2019,Missouri,8
702,8,2019,Arkansas,7
715,8,2019,Arkansas,5
716,8,2019,Arkansas,2
717,8,2019,Arkansas,13
718,8,2019,Arkansas,2
720,7,2019,Oklahoma,1
727,7,2019,Missouri,2
728,7,2019,Missouri,1
732,7,2019,Oklahoma,2
735,7,2019,Arkansas,1
741,6,2019,Oklahoma,2
746,6,2019,Oklahoma,6
765,5,2019,,1
768,5,2019,Missouri,1
772,5,2019,Arkansas,3
773,5,2019,Arkansas,4
774,5,2019,Arkansas,1
775,5,2019,Arkansas,4
783,5,2019,Missouri,2
787,5,2019,Arkansas,1
788,4,2019,Arkansas,3
794,4,2019,Arkansas,3
799,4,2019,Arkansas,4
800,4,2019,Missouri,2
808,4,2019,Missouri,3
810,3,2019,Arkansas,4
811,3,2019,Arkansas,3
812,3,2019,Arkansas,1
813,3,2019,,3
815,3,2019,Missouri,1
816,3,2019,Missouri,2
818,3,2019,Arkansas,1
823,2,2019,Arkansas,2
824,2,2019,TX,1
826,1,2019,Arkansas,1
829,8,2019,Missouri,1
838,8,2019,Oklahoma,2
840,8,2019,Oklahoma,5
841,8,2019,Oklahoma,18
842,8,2019,Oklahoma,9
843,8,2019,Arkansas,1
844,8,2019,Arkansas,1
845,8,2019,Arkansas,2
846,8,2019,Missouri,6
851,7,2019,Arkansas,2
856,7,2019,Arkansas,7
862,7,2019,Oklahoma,4
864,7,2019,Oklahoma,2
872,6,2019,Oklahoma,1
874,6,2019,Missouri,1
882,6,2019,Missouri,1
884,6,2019,Arkansas,1
885,6,2019,Missouri,4
894,5,2019,,1
899,5,2019,Arkansas,1
900,5,2019,Oklahoma,1
901,5,2019,Arkansas,2
902,5,2019,Arkansas,2
903,5,2019,Arkansas,2
904,5,2019,Oklahoma,1
905,5,2019,Arkansas,4
907,4,2019,Arkansas,1
910,8,2019,Missouri,7
914,8,2019,Arkansas,2
918,8,2019,Arkansas,8
920,8,2019,Arkansas,15
922,8,2019,Arkansas,1
934,8,2019,VA,1
935,8,2019,Missouri,7
945,7,2019,Missouri,4
994,8,2019,Arkansas,22
1003,8,2019,Missouri,2
1010,8,2019,Arkansas,5
1013,8,2019,Arkansas,7
1018,7,2019,Oklahoma,5
1020,7,2019,Missouri,1
1021,7,2019,Arkansas,1
1023,7,2019,Oklahoma,1
1025,7,2019,Missouri,1
1031,7,2019,Missouri,1
1038,6,2019,Arkansas,2
1048,6,2019,Arkansas,1
1054,5,2019,Arkansas,3
1064,5,2019,Arkansas,2
1065,5,2019,Oklahoma,1
1077,4,2019,Arkansas,5
1084,4,2019,Arkansas,1
1095,3,2019,Missouri,1
1110,2,2019,Missouri,1
1111,2,2019,Arkansas,1
1125,1,2019,Arkansas,1
1126,1,2019,Arkansas,1
1137,8,2019,Missouri,1
1141,8,2019,Missouri,5
