lead_id,month,year,state,numberOfCalls,callTimeMinute
263,7,2019,Arkansas,10,15.20
273,7,2019,Arkansas,2,23.53
281,7,2019,Arkansas,3,22.97
282,7,2019,Arkansas,23,51.28
288,8,2019,Arkansas,16,31.93
291,8,2019,Arkansas,32,130.18
292,8,2019,Arkansas,9,17.02
297,8,2019,Arkansas,10,25.42
299,8,2019,Arkansas,27,70.07
301,8,2019,Arkansas,12,21.47
317,8,2019,Arkansas,46,93.93
321,8,2019,Arkansas,24,193.60
322,8,2019,Missouri,5,32.85
324,8,2019,Arkansas,3,18.43
326,8,2019,Arkansas,16,16.05
329,8,2019,Missouri,4,74.48
335,8,2019,Missouri,19,49.58
347,8,2019,Missouri,8,31.10
350,8,2019,Missouri,13,135.20
358,8,2019,Missouri,12,25.08
360,8,2019,Arkansas,26,22.65
369,8,2019,Arkansas,5,105.88
371,8,2019,Arkansas,10,119.23
375,8,2019,Arkansas,30,42.18
391,8,2019,Arkansas,28,113.27
393,8,2019,Arkansas,25,32.08
403,8,2019,Missouri,13,44.27
406,8,2019,Arkansas,4,10.77
407,8,2019,Arkansas,13,15.83
413,8,2019,Arkansas,55,64.05
414,8,2019,Arkansas,4,15.43
420,8,2019,Arkansas,2,14.30
421,8,2019,Arkansas,80,274.62
424,7,2019,Missouri,6,12.23
425,7,2019,Arkansas,8,4.75
426,7,2019,Missouri,17,80.52
427,7,2019,Arkansas,9,8.33
428,7,2019,Arkansas,3,3.70
429,7,2019,Arkansas,1,0.90
430,7,2019,Arkansas,9,12.30
431,7,2019,Missouri,7,4.45
432,7,2019,Arkansas,7,4.00
433,7,2019,Arkansas,8,21.47
434,7,2019,Arkansas,1,0.77
435,7,2019,Arkansas,1,2.73
436,7,2019,Oklahoma,5,4.40
437,7,2019,Arkansas,1,2.72
438,6,2019,Oklahoma,15,9.95
439,6,2019,Oklahoma,36,18.98
440,6,2019,,9,5.40
441,6,2019,Arkansas,20,9.48
442,6,2019,Missouri,5,2.32
443,6,2019,,16,10.57
444,6,2019,Missouri,4,2.13
445,6,2019,Arkansas,11,7.25
446,6,2019,Arkansas,6,16.63
447,6,2019,Arkansas,6,45.15
448,6,2019,Arkansas,30,168.23
449,5,2019,Arkansas,3,7.85
450,5,2019,Arkansas,10,208.78
451,5,2019,,7,3.98
452,1,2019,Arkansas,1,2.75
472,8,2019,Arkansas,1,9.12
475,8,2019,Arkansas,10,140.65
476,8,2019,Arkansas,31,84.08
484,8,2019,Arkansas,27,110.17
488,8,2019,Arkansas,19,93.23
490,8,2019,Arkansas,24,38.12
496,8,2019,Arkansas,25,30.02
497,8,2019,Arkansas,7,103.35
498,8,2019,Arkansas,12,135.33
505,8,2019,Arkansas,13,39.28
691,8,2019,Missouri,32,63.30
702,8,2019,Arkansas,25,64.03
704,8,2019,M,1,7.67
714,8,2019,,5,3.67
715,8,2019,Arkansas,18,265.35
716,8,2019,Arkansas,2,97.50
717,8,2019,Arkansas,20,70.02
718,8,2019,Arkansas,7,113.87
719,7,2019,Missouri,18,11.10
720,7,2019,Oklahoma,26,282.43
721,7,2019,,22,11.97
722,7,2019,Arkansas,12,110.17
723,7,2019,Oklahoma,17,5.53
724,7,2019,,2,9.52
725,7,2019,Missouri,21,15.17
727,7,2019,Missouri,51,349.37
728,7,2019,Missouri,21,46.38
729,7,2019,Missouri,16,23.87
730,7,2019,Arkansas,12,8.63
731,7,2019,Arkansas,14,12.53
732,7,2019,Oklahoma,51,151.83
733,7,2019,Arkansas,16,47.27
734,7,2019,Arkansas,1,0.50
735,7,2019,Arkansas,20,3.27
736,7,2019,Arkansas,8,7.73
737,7,2019,Oklahoma,2,1.63
738,7,2019,Oklahoma,29,11.95
739,7,2019,Oklahoma,19,3.83
740,7,2019,Missouri,32,17.93
741,6,2019,Oklahoma,11,85.35
742,6,2019,Oklahoma,2,3.17
743,6,2019,,1,1.22
744,6,2019,Arkansas,19,17.90
745,6,2019,Oklahoma,1,1.43
746,6,2019,Oklahoma,81,183.28
747,6,2019,Oklahoma,2,1.55
748,6,2019,Missouri,17,21.70
749,6,2019,Arkansas,2,0.72
750,6,2019,Arkansas,1,0.93
751,6,2019,Missouri,3,0.43
752,6,2019,Oklahoma,7,11.17
753,6,2019,,4,6.27
754,6,2019,Arkansas,3,4.37
755,6,2019,Arkansas,1,0.68
756,6,2019,,36,25.88
757,6,2019,,3,1.98
758,6,2019,Oklahoma,1,0.52
759,6,2019,Missouri,3,3.20
760,6,2019,,2,0.70
761,6,2019,Oklahoma,7,2.77
762,6,2019,Arkansas,10,7.45
763,6,2019,Arkansas,7,16.40
764,6,2019,Arkansas,2,0.93
765,5,2019,,14,7.28
766,5,2019,Missouri,6,3.20
767,5,2019,Arkansas,3,9.38
768,5,2019,Missouri,8,12.60
769,5,2019,Arkansas,1,0.23
770,5,2019,Arkansas,2,1.12
771,5,2019,Oklahoma,2,1.45
772,5,2019,Arkansas,20,48.73
773,5,2019,Arkansas,23,19.50
774,5,2019,Arkansas,6,12.08
775,5,2019,Arkansas,25,89.18
777,5,2019,Oklahoma,3,26.82
778,5,2019,,2,0.75
779,5,2019,Arkansas,2,0.83
780,5,2019,Oklahoma,6,4.87
781,5,2019,Arkansas,26,13.13
782,5,2019,Arkansas,18,27.63
783,5,2019,Missouri,10,84.32
784,5,2019,Oklahoma,34,23.63
785,5,2019,Arkansas,5,5.85
786,5,2019,Missouri,4,0.60
787,5,2019,Arkansas,21,68.42
788,4,2019,Arkansas,8,106.32
789,4,2019,Arkansas,2,5.23
790,4,2019,,4,4.27
791,4,2019,,4,12.45
792,4,2019,Arkansas,3,2.48
793,4,2019,Arkansas,2,0.95
794,4,2019,Arkansas,30,74.35
795,4,2019,Arkansas,2,2.03
796,4,2019,Arkansas,14,34.43
797,4,2019,Arkansas,1,0.53
798,4,2019,,6,0.73
799,4,2019,Arkansas,4,9.77
800,4,2019,Missouri,36,41.53
801,4,2019,Arkansas,1,2.00
802,4,2019,Missouri,1,0.63
804,4,2019,Arkansas,8,20.18
805,4,2019,Missouri,7,7.07
807,4,2019,,28,24.53
808,4,2019,Missouri,15,123.02
809,4,2019,Arkansas,1,0.77
810,3,2019,Arkansas,23,44.62
811,3,2019,Arkansas,12,41.50
812,3,2019,Arkansas,26,184.18
813,3,2019,,4,7.32
814,3,2019,Arkansas,1,0.47
815,3,2019,Missouri,7,4.80
816,3,2019,Missouri,27,56.23
818,3,2019,Arkansas,9,103.68
819,3,2019,Missouri,2,1.33
820,3,2019,Arkansas,1,1.08
821,3,2019,Arkansas,19,20.30
822,3,2019,Missouri,1,0.90
823,2,2019,Arkansas,22,22.97
824,2,2019,TX,2,10.03
825,1,2019,,3,5.35
826,1,2019,Arkansas,3,32.33
829,8,2019,Missouri,7,43.30
835,8,2019,Arkansas,9,8.35
836,8,2019,Oklahoma,3,2.03
837,8,2019,Oklahoma,5,2.37
838,8,2019,Oklahoma,2,8.63
840,8,2019,Oklahoma,21,14.58
841,8,2019,Oklahoma,31,104.45
842,8,2019,Oklahoma,21,9.07
843,8,2019,Arkansas,12,3.40
844,8,2019,Arkansas,3,51.48
845,8,2019,Arkansas,8,13.50
846,8,2019,Missouri,25,11.03
847,7,2019,Arkansas,2,1.90
848,7,2019,Oklahoma,1,1.98
849,7,2019,Arkansas,1,0.63
850,7,2019,Arkansas,2,1.12
851,7,2019,Arkansas,3,8.95
852,7,2019,Oklahoma,2,0.95
853,7,2019,Oklahoma,4,1.92
854,7,2019,Arkansas,11,10.02
856,7,2019,Arkansas,34,50.00
857,7,2019,,4,5.70
860,7,2019,Oklahoma,1,0.58
861,7,2019,Arkansas,2,0.98
862,7,2019,Oklahoma,28,79.77
863,7,2019,Oklahoma,24,8.00
864,7,2019,Oklahoma,20,10.92
866,7,2019,Oklahoma,2,7.68
867,7,2019,,3,2.25
868,7,2019,,4,5.35
869,7,2019,Missouri,5,0.90
870,7,2019,Arkansas,18,8.03
871,6,2019,Arkansas,1,1.48
872,6,2019,Oklahoma,6,1.75
874,6,2019,Missouri,62,237.58
876,6,2019,Arkansas,16,9.48
877,6,2019,Arkansas,1,1.97
878,6,2019,Arkansas,3,7.88
882,6,2019,Missouri,2,2.05
883,6,2019,Oklahoma,1,0.85
884,6,2019,Arkansas,4,20.43
885,6,2019,Missouri,28,42.62
890,6,2019,,20,28.10
891,6,2019,,1,1.18
892,6,2019,Oklahoma,1,0.48
894,5,2019,,21,21.57
897,5,2019,Arkansas,17,16.87
898,5,2019,Arkansas,1,4.27
899,5,2019,Arkansas,2,78.45
900,5,2019,Oklahoma,4,6.00
901,5,2019,Arkansas,18,6.27
902,5,2019,Arkansas,21,35.93
903,5,2019,Arkansas,13,109.48
904,5,2019,Oklahoma,15,7.22
905,5,2019,Arkansas,12,52.28
906,4,2019,Arkansas,12,18.10
907,4,2019,Arkansas,12,147.75
910,8,2019,Missouri,25,38.55
914,8,2019,Arkansas,9,58.93
918,8,2019,Arkansas,9,31.18
920,8,2019,Arkansas,27,48.37
922,8,2019,Arkansas,10,164.70
934,8,2019,VA,4,132.20
935,8,2019,Missouri,39,17.13
936,8,2019,Arkansas,1,7.52
937,8,2019,Missouri,21,28.22
938,8,2019,Oklahoma,6,84.63
939,8,2019,Oklahoma,7,17.75
940,8,2019,Oklahoma,9,67.75
941,8,2019,Oklahoma,8,2.82
942,7,2019,Arkansas,5,74.97
943,7,2019,Arkansas,9,3.65
945,7,2019,Missouri,43,253.72
946,7,2019,Oklahoma,6,7.05
947,7,2019,Arkansas,8,7.25
948,7,2019,Arkansas,11,9.27
949,7,2019,Arkansas,2,1.07
950,7,2019,Missouri,1,1.88
954,7,2019,Missouri,9,7.05
955,7,2019,Arkansas,1,0.67
956,7,2019,Oklahoma,2,0.88
957,7,2019,Arkansas,5,1.78
958,7,2019,Arkansas,2,2.13
960,7,2019,Arkansas,2,2.52
961,7,2019,Arkansas,2,1.37
964,6,2019,Missouri,18,15.50
969,6,2019,Oklahoma,2,3.85
970,6,2019,Arkansas,2,3.12
971,6,2019,Arkansas,2,2.55
972,6,2019,Missouri,3,2.27
973,6,2019,Missouri,1,2.70
974,6,2019,Missouri,1,1.05
975,6,2019,Missouri,24,17.90
976,6,2019,Missouri,1,1.47
977,6,2019,Oklahoma,23,11.73
978,6,2019,Arkansas,1,1.02
979,6,2019,,1,8.27
980,6,2019,Arkansas,1,1.72
981,6,2019,Missouri,6,8.63
982,6,2019,Arkansas,1,1.07
984,6,2019,Arkansas,22,8.83
986,5,2019,Arkansas,3,5.37
987,5,2019,Oklahoma,1,2.85
988,2,2019,Missouri,1,5.62
989,1,2019,Missouri,3,67.05
994,8,2019,Arkansas,30,47.35
1003,8,2019,Missouri,20,62.58
1010,8,2019,Arkansas,20,28.23
1011,8,2019,Arkansas,6,1.00
1012,8,2019,Arkansas,4,2.08
1013,8,2019,Arkansas,16,18.75
1014,7,2019,Arkansas,2,0.15
1015,7,2019,Missouri,4,0.20
1016,7,2019,Arkansas,1,0.05
1017,7,2019,Arkansas,3,0.15
1018,7,2019,Oklahoma,34,193.15
1019,7,2019,,1,0.05
1020,7,2019,Missouri,5,1.73
1021,7,2019,Arkansas,4,2.17
1022,7,2019,MD,12,13.47
1023,7,2019,Oklahoma,13,113.43
1024,7,2019,Missouri,2,0.10
1025,7,2019,Missouri,5,2.53
1026,7,2019,Oklahoma,22,10.45
1027,7,2019,,5,1.32
1028,7,2019,Oklahoma,4,0.35
1029,7,2019,Arkansas,2,1.53
