lead_id,month,year,state,numberofStatuses
263,7,2019,Arkansas,2
273,7,2019,Arkansas,2
281,7,2019,Arkansas,5
282,7,2019,Arkansas,14
288,8,2019,Arkansas,9
291,8,2019,Arkansas,7
292,8,2019,Arkansas,6
297,8,2019,Arkansas,2
299,8,2019,Arkansas,9
301,8,2019,Arkansas,4
317,8,2019,Arkansas,14
321,8,2019,Arkansas,4
322,8,2019,Missouri,2
324,8,2019,Arkansas,2
326,8,2019,Arkansas,10
329,8,2019,Missouri,3
335,8,2019,Missouri,13
347,8,2019,Missouri,3
350,8,2019,Missouri,3
358,8,2019,Missouri,3
360,8,2019,Arkansas,10
369,8,2019,Arkansas,3
371,8,2019,Arkansas,5
375,8,2019,Arkansas,17
391,8,2019,Arkansas,21
393,8,2019,Arkansas,10
403,8,2019,Missouri,9
406,8,2019,Arkansas,3
407,8,2019,Arkansas,4
413,8,2019,Arkansas,17
414,8,2019,Arkansas,3
420,8,2019,Arkansas,4
421,8,2019,Arkansas,22
424,7,2019,Missouri,1
425,7,2019,Arkansas,4
426,7,2019,Missouri,3
427,7,2019,Arkansas,8
428,7,2019,Arkansas,3
429,7,2019,Arkansas,1
430,7,2019,Arkansas,3
431,7,2019,Missouri,2
432,7,2019,Arkansas,2
433,7,2019,Arkansas,7
434,7,2019,Arkansas,1
435,7,2019,Arkansas,1
436,7,2019,Oklahoma,1
437,7,2019,Arkansas,1
438,6,2019,Oklahoma,3
439,6,2019,Oklahoma,15
440,6,2019,,3
441,6,2019,Arkansas,15
442,6,2019,Missouri,4
443,6,2019,,5
444,6,2019,Missouri,4
445,6,2019,Arkansas,3
446,6,2019,Arkansas,3
447,6,2019,Arkansas,7
448,6,2019,Arkansas,13
449,5,2019,Arkansas,1
450,5,2019,Arkansas,3
451,5,2019,,5
452,1,2019,Arkansas,1
472,8,2019,Arkansas,1
475,8,2019,Arkansas,10
476,8,2019,Arkansas,5
484,8,2019,Arkansas,8
488,8,2019,Arkansas,2
490,8,2019,Arkansas,15
496,8,2019,Arkansas,8
497,8,2019,Arkansas,4
498,8,2019,Arkansas,5
505,8,2019,Arkansas,4
691,8,2019,Missouri,14
702,8,2019,Arkansas,7
704,8,2019,M,1
714,8,2019,,7
715,8,2019,Arkansas,6
716,8,2019,Arkansas,4
717,8,2019,Arkansas,8
718,8,2019,Arkansas,6
719,7,2019,Missouri,4
