,lead_id,month,year,numberOfAppointments,numberOfCalls,callTimeMinute,numberofStatuses,hoursSinceCall,isCust
0,281,7,2019,1,3,22.97,5,188,0
1,282,7,2019,12,23,51.28,14,187,0
2,288,8,2019,1,16,31.93,9,177,0
3,291,8,2019,9,32,130.18,7,173,1
4,292,8,2019,5,9,17.02,6,171,0
5,299,8,2019,2,27,70.07,9,165,0
6,301,8,2019,1,12,21.47,4,162,0
7,317,8,2019,17,46,93.93,14,144,0
8,321,8,2019,2,24,193.6,4,142,1
9,322,8,2019,3,5,32.85,2,142,0
10,324,8,2019,2,3,18.43,2,122,0
11,326,8,2019,10,16,16.05,10,94,0
12,329,8,2019,3,4,74.48,3,87,0
13,335,8,2019,6,19,49.58,13,80,0
14,347,8,2019,2,8,31.1,3,52,0
15,350,8,2019,1,13,135.2,3,51,1
16,358,8,2019,3,12,25.08,3,36,0
17,360,8,2019,9,26,22.65,10,35,0
18,369,8,2019,7,5,105.88,3,24,0
19,371,8,2019,8,10,119.23,5,23,1
20,375,8,2019,8,30,42.18,17,22,0
21,391,8,2019,4,28,113.27,21,46,0
22,393,8,2019,5,25,32.08,10,10,0
23,403,8,2019,11,13,44.27,9,12,0
24,406,8,2019,1,4,10.77,3,4,0
25,413,8,2019,32,55,64.05,17,15,0
26,414,8,2019,2,4,15.43,3,14,0
27,420,8,2019,1,2,14.3,4,1,0
28,421,8,2019,10,80,274.62,22,0,0
29,424,7,2019,4,6,12.23,1,261,0
30,425,7,2019,7,8,4.75,4,286,0
31,426,7,2019,15,17,80.52,3,347,0
32,427,7,2019,5,9,8.33,8,479,0
33,428,7,2019,2,3,3.7,3,595,0
34,430,7,2019,1,9,12.3,3,652,0
35,431,7,2019,4,7,4.45,2,678,0
36,432,7,2019,4,7,4.0,2,707,0
37,433,7,2019,1,8,21.47,7,970,0
38,436,7,2019,3,5,4.4,1,939,0
39,438,6,2019,9,15,9.95,3,1189,0
40,439,6,2019,1,36,18.98,15,1135,0
41,440,6,2019,2,9,5.4,3,1246,0
42,441,6,2019,2,20,9.48,15,1505,0
43,442,6,2019,2,5,2.32,4,1316,0
44,443,6,2019,10,16,10.57,5,1358,0
45,445,6,2019,4,11,7.25,3,1290,0
46,446,6,2019,5,6,16.63,3,1427,0
47,447,6,2019,2,6,45.15,7,1467,0
48,448,6,2019,10,30,168.23,13,1898,0
49,449,5,2019,3,3,7.85,1,1901,0
50,450,5,2019,8,10,208.78,3,2029,0
51,451,5,2019,2,7,3.98,5,2372,0
52,475,8,2019,9,10,140.65,10,0,0
53,476,8,2019,2,31,84.08,5,0,0
54,484,8,2019,4,27,110.17,8,28,0
55,488,8,2019,16,19,93.23,2,21,1
56,490,8,2019,1,24,38.12,15,18,0
57,496,8,2019,7,25,30.02,8,18,0
58,497,8,2019,6,7,103.35,4,0,0
59,498,8,2019,2,12,135.33,5,3,1
60,505,8,2019,3,13,39.28,4,2,0
61,691,8,2019,8,32,63.3,14,9,0
62,702,8,2019,7,25,64.03,7,20,0
63,715,8,2019,5,18,265.35,6,126,0
64,716,8,2019,2,2,97.5,4,212,0
65,717,8,2019,13,20,70.02,8,767,0
66,718,8,2019,2,7,113.87,6,360,0
67,720,7,2019,1,26,282.43,4,387,1
68,727,7,2019,2,51,349.37,14,614,1
69,728,7,2019,1,21,46.38,8,699,1
70,732,7,2019,2,51,151.83,5,936,1
71,735,7,2019,1,20,3.27,12,1544,0
72,741,6,2019,2,11,85.35,2,1730,0
73,746,6,2019,6,81,183.28,11,1261,0
74,765,5,2019,1,14,7.28,4,2467,0
75,768,5,2019,1,8,12.6,5,2238,0
76,772,5,2019,3,20,48.73,15,2357,0
77,773,5,2019,4,23,19.5,16,2400,0
78,774,5,2019,1,6,12.08,3,2818,0
79,775,5,2019,4,25,89.18,16,2840,0
80,783,5,2019,2,10,84.32,4,2734,0
81,787,5,2019,1,21,68.42,13,2816,0
82,788,4,2019,3,8,106.32,5,2832,0
83,794,4,2019,3,30,74.35,14,2871,0
84,799,4,2019,4,4,9.77,5,2899,0
85,800,4,2019,2,36,41.53,12,2908,0
86,808,4,2019,3,15,123.02,5,3247,0
87,810,3,2019,4,23,44.62,7,3989,0
88,811,3,2019,3,12,41.5,5,3660,0
89,812,3,2019,1,26,184.18,19,3702,0
90,813,3,2019,3,4,7.32,2,3773,0
91,815,3,2019,1,7,4.8,4,3814,0
92,816,3,2019,2,27,56.23,12,3801,0
93,818,3,2019,1,9,103.68,4,3936,0
94,823,2,2019,2,22,22.97,9,4324,0
95,824,2,2019,1,2,10.03,1,4325,0
96,826,1,2019,1,3,32.33,3,5235,0
97,829,8,2019,1,7,43.3,7,88,0
98,844,8,2019,1,3,51.48,3,481,0
99,845,8,2019,2,8,13.5,4,849,0
100,846,8,2019,6,25,11.03,8,849,0
101,851,7,2019,2,3,8.95,3,750,0
102,856,7,2019,7,34,50.0,10,1220,0
103,862,7,2019,4,28,79.77,14,7626,0
104,864,7,2019,2,20,10.92,7,1561,0
105,874,6,2019,1,62,237.58,6,11903,1
106,885,6,2019,4,28,42.62,7,2013,0
107,894,5,2019,1,21,21.57,10,2015,0
108,899,5,2019,1,2,78.45,3,4159,0
109,900,5,2019,1,4,6.0,5,2258,0
110,901,5,2019,2,18,6.27,10,2100,0
111,902,5,2019,2,21,35.93,11,2129,0
112,903,5,2019,2,13,109.48,9,2305,1
113,904,5,2019,1,15,7.22,9,7505,0
114,905,5,2019,4,12,52.28,6,2596,0
115,907,4,2019,1,12,147.75,11,3716,1
116,914,8,2019,2,9,58.93,6,61,0
117,918,8,2019,8,9,31.18,5,1,0
118,920,8,2019,15,27,48.37,5,0,0
119,922,8,2019,1,10,164.7,4,48,1
120,934,8,2019,1,4,132.2,3,71,0
121,935,8,2019,7,39,17.13,11,153,0
122,945,7,2019,4,43,253.72,17,1228,0
123,994,8,2019,22,30,47.35,11,30,0
124,1003,8,2019,2,20,62.58,5,14,1
125,1010,8,2019,5,20,28.23,6,3,0
126,1013,8,2019,7,16,18.75,8,881,0
127,1020,7,2019,1,5,1.73,1,2544,0
128,1021,7,2019,1,4,2.17,3,1176,0
129,1023,7,2019,1,13,113.43,5,1084,0
130,1025,7,2019,1,5,2.53,1,1498,0
131,1031,7,2019,1,8,19.4,4,1514,0
132,1048,6,2019,1,3,8.72,1,2233,1
133,1054,5,2019,3,7,10.55,4,3047,0
134,1064,5,2019,2,6,62.72,1,3380,0
135,1065,5,2019,1,3,2.83,4,3003,0
136,1077,4,2019,5,22,125.5,3,3367,1
137,1084,4,2019,1,9,2.83,4,3604,0
138,1095,3,2019,1,7,5.8,3,4036,0
139,1110,2,2019,1,3,1.1,2,4783,0
140,1111,2,2019,1,40,425.6,7,5073,1
141,1125,1,2019,1,10,5.38,6,5549,0
142,1126,1,2019,1,3,2.58,1,5549,0
143,1137,8,2019,1,2,15.37,4,0,0
144,1141,8,2019,5,46,155.93,15,14,1
145,1143,8,2019,15,29,33.33,7,13,0
146,1144,8,2019,4,17,36.63,11,9,0
147,1146,8,2019,4,7,12.17,2,193,0
148,1148,8,2019,4,17,11.17,6,248,0
149,1159,7,2019,1,2,2.22,1,724,0
150,1164,7,2019,1,13,15.13,4,1312,0
151,1172,7,2019,5,21,56.3,14,1325,0
152,1175,6,2019,1,4,3.67,1,1492,0
153,1177,6,2019,2,23,13.33,7,1417,0
154,1182,6,2019,3,52,101.52,10,2217,0
155,1190,6,2019,2,1,0.32,1,2109,0
156,1192,6,2019,2,21,25.42,7,2597,0
157,1193,5,2019,1,3,6.7,1,2183,0
158,1195,5,2019,3,16,88.43,4,2259,0
159,1196,5,2019,2,11,11.15,2,2265,0
160,1198,5,2019,1,3,3.7,3,2568,0
161,1199,5,2019,2,3,12.42,1,5735,0
162,1202,5,2019,2,18,148.08,9,2687,1
163,1203,5,2019,1,1,0.48,1,2621,0
164,1204,5,2019,1,21,25.12,14,2896,0
165,1206,5,2019,1,7,101.12,3,3090,0
166,1207,5,2019,2,23,54.73,21,3096,0
167,1212,5,2019,2,20,19.7,9,3141,0
168,1215,4,2019,1,22,11.58,7,2963,0
169,1219,4,2019,2,22,33.38,5,3268,0
170,1223,4,2019,1,5,3.78,4,3739,0
171,1227,3,2019,1,17,21.63,2,3724,0
172,1228,3,2019,2,6,9.9,1,4040,0
173,1230,3,2019,2,3,4.72,1,3794,0
174,1232,3,2019,2,9,78.08,2,3977,0
175,1233,3,2019,5,23,11.65,6,4242,0
176,1236,3,2019,17,2,1.4,3,4159,0
177,1237,3,2019,1,3,4.87,2,4522,0
178,1242,2,2019,1,53,81.6,3,4786,1
179,1245,2,2019,3,25,133.43,2,5141,1
180,1247,1,2019,4,5,22.55,2,4924,0
181,1252,8,2019,4,5,3.33,2,5182,0
182,1253,7,2019,4,5,5.45,2,5532,0
183,1255,7,2019,7,30,22.22,15,5544,0
184,1256,7,2019,9,23,46.87,14,2924,0
