lead_id,numberOfCalls,callTimeMinute
59371,6,1.40
59372,19,2.65
59373,19,15.50
59374,1,3.85
59375,5,61.65
59376,4,2.00
59377,10,21.78
59378,4,26.62
59379,19,9.50
59380,4,0.72
59381,35,47.03
59382,19,15.28
59384,2,53.63
59385,22,19.48
59386,1,0.25
59389,16,6.95
59390,10,3.80
59392,7,4.23
59393,3,3.10
59394,6,82.52
59395,3,63.73
59397,4,2.50
59398,9,6.12
59399,19,39.77
59400,5,0.92
59401,1,0.37
59402,2,1.95
59404,18,6.73
59405,20,6.07
59406,19,11.22
59407,2,4.45
59408,4,3.80
59410,18,38.50
59411,2,0.37
59412,19,18.98
59414,15,10.83
59415,21,23.30
59417,4,7.75
59418,5,28.82
59419,8,53.78
59420,4,3.58
59421,22,18.23
59422,12,16.72
59423,17,6.12
59426,8,41.53
59427,5,0.72
59429,3,21.10
59430,4,0.83
59431,4,13.05
59432,6,60.22
59433,1,0.35
59434,11,13.00
59437,23,116.62
59440,19,12.75
59442,19,23.10
59443,1,2.68
59444,31,23.70
59445,1,5.32
59446,19,13.97
59447,8,9.83
59448,7,13.80
59449,1,0.52
59450,4,40.17
59451,1,0.58
59452,9,49.70
59453,5,20.25
59456,12,34.12
59457,5,26.38
59458,3,0.33
59459,3,28.97
59460,5,5.43
59461,4,6.40
59462,7,9.17
59463,5,19.18
59465,5,23.63
59466,15,62.55
59467,7,18.50
59469,16,15.95
59470,6,3.47
59471,1,1.13
59472,4,1.85
59473,1,0.50
59474,1,18.58
59475,20,20.58
59476,6,4.00
59477,3,18.93
59478,1,0.65
59479,4,11.27
59480,4,109.90
59481,19,24.15
59482,19,15.93
59483,3,33.00
59485,20,27.45
59486,4,2.33
59487,6,3.38
59488,2,0.53
59489,2,1.08
59490,19,10.65
59491,10,39.68
59493,17,11.67
59494,26,57.22
59495,19,10.32
59496,19,15.13
59498,15,14.55
59499,16,135.70
59500,5,7.18
59501,1,11.00
59502,9,89.03
59503,17,7.05
59505,5,33.87
59506,5,15.00
59508,1,44.82
59509,3,2.03
59510,10,29.07
59511,1,1.92
59512,5,6.23
59514,19,4.72
59515,16,7.88
59516,1,12.23
59517,19,8.52
59518,17,10.07
59519,3,69.02
59521,12,107.95
59522,17,24.63
59523,18,10.90
59524,4,0.85
59525,25,10.60
59526,7,64.05
59527,45,125.92
59528,17,6.47
59529,10,13.23
59531,2,31.73
59532,4,21.07
59533,6,12.70
59535,3,1.95
59537,6,16.80
59538,4,2.22
59539,6,27.02
59541,2,8.25
59542,16,5.17
59543,5,30.47
59544,1,0.15
59545,4,17.53
59546,6,3.18
59547,19,11.57
59548,1,0.20
59549,1,8.98
59550,8,7.50
59552,7,4.28
59553,20,14.37
59554,8,5.65
59555,5,16.72
59556,10,32.05
59557,1,2.22
59558,2,1.82
59559,16,24.27
59560,2,1.78
59562,17,12.77
59564,4,46.18
59565,4,3.42
59567,1,0.63
59568,9,7.32
59569,19,7.87
59570,8,4.18
59571,19,7.62
59572,1,14.28
59573,14,91.72
59574,16,5.13
59575,3,1.92
59576,16,5.18
59577,4,21.87
59578,19,11.17
59579,23,13.07
59580,1,0.42
59581,1,2.30
59582,6,2.33
59583,19,18.38
59584,20,11.63
59585,5,7.15
59586,6,25.43
59587,19,10.35
59588,1,5.12
59589,2,17.60
59590,8,115.02
59591,2,1.63
59593,14,131.70
59594,20,9.97
59596,19,4.35
59597,8,3.70
59599,24,21.53
59600,16,57.60
59601,8,5.12
59603,7,37.53
59604,7,15.15
59605,21,19.83
59606,1,20.90
59607,2,0.27
59608,11,6.32
59609,2,1.93
59610,2,0.33
59611,16,3.50
59612,16,7.82
59613,9,23.28
59614,1,20.38
59615,1,0.15
59616,16,11.28
59617,5,77.70
59618,18,13.85
59620,2,0.48
59621,5,15.63
59622,8,1.43
59624,6,3.42
59625,20,5.92
59627,18,8.83
59629,6,39.57
59630,3,0.37
59633,9,29.03
59635,19,14.90
59636,6,4.63
59637,1,0.62
59638,15,29.85
59639,4,0.60
59640,19,37.82
59641,4,22.30
59642,7,31.17
59643,19,8.65
59644,11,6.37
59646,19,11.10
59647,6,2.65
59648,8,2.80
59649,19,8.73
59652,3,0.27
59653,19,14.33
59656,2,1.38
59657,19,14.85
59658,16,23.37
59659,10,5.27
59660,4,69.50
59661,16,9.38
59662,5,1.18
59663,1,0.30
59664,1,14.62
59665,16,5.85
59666,7,14.07
59667,20,20.63
59668,17,11.50
59669,3,0.62
59670,2,24.57
59671,6,3.15
59673,1,0.50
