lead_id,numberOfStatuses
59371,2
59372,2
59373,4
59374,1
59375,7
59376,2
59377,3
59378,4
59379,5
59380,1
59381,5
59382,7
59384,2
59385,4
59386,2
59388,1
59389,4
59390,2
59392,2
59393,2
59394,4
59395,4
59396,2
59397,3
59398,2
59399,2
59400,3
59401,2
59402,1
59404,1
59405,2
59406,2
59407,1
59408,1
59410,2
59411,1
59412,4
59414,3
59415,1
59417,2
59418,2
59419,6
59420,1
59421,4
59422,3
59423,3
59426,4
59427,1
59429,4
59430,2
59431,2
59432,4
59433,1
59434,3
59437,8
59440,4
59442,4
59443,1
59444,4
59445,1
59446,1
59447,3
59448,2
59449,2
59450,3
59451,3
59452,5
59453,2
59456,1
59457,5
59458,2
59459,2
59460,3
59461,2
59462,2
59463,2
59465,6
59466,9
59467,3
59469,2
59470,2
59471,1
59472,1
59473,1
59474,1
59475,5
59476,2
59477,4
59478,2
59479,2
59480,6
59481,4
59482,8
59483,3
59484,1
59485,2
59486,2
59487,2
59488,2
59489,2
59490,2
59491,4
59493,2
59494,6
59495,4
59496,4
59498,2
59499,6
59500,1
59501,2
59502,6
59503,3
59505,5
59506,3
59508,3
59509,3
59510,4
59511,1
59512,3
59514,6
59515,2
59516,1
59517,4
59518,2
59519,4
59521,11
59522,4
59523,3
59524,2
59525,2
59526,5
59527,5
59528,2
59529,8
59531,3
59532,4
59533,4
59535,2
59537,2
59538,1
59539,1
59540,1
59541,3
59542,6
59543,5
59544,1
59545,3
59546,2
59547,5
59548,1
59549,1
59550,5
59552,5
59553,3
59554,4
59555,3
59556,1
59557,1
59558,2
59559,2
59560,2
59562,3
59563,1
59564,3
59565,2
59567,1
59568,2
59569,2
59570,1
59571,2
59572,2
59573,4
59574,2
59575,2
59576,2
59577,6
59578,4
59579,2
59580,4
59581,2
59582,1
59583,3
59584,7
59585,2
59586,5
59587,2
59588,3
59589,2
59590,7
59591,3
59593,4
59594,2
59596,4
59597,1
59599,2
59600,4
59601,2
59602,1
59603,5
59604,1
59605,2
59606,1
59607,2
59608,1
59609,2
59610,2
59611,3
59612,2
59613,2
59614,1
59615,1
59616,2
59617,4
59618,2
59620,2
59621,1
59622,2
59624,3
59625,5
59627,2
59629,4
59630,2
59632,1
59633,5
59635,4
59636,2
59637,3
59638,3
59639,2
59640,8
59641,3
59642,2
59643,2
59644,4
59646,2
59647,2
59648,3
59649,2
59652,2
59653,4
59655,1
59656,2
59657,5
59658,3
59659,1
59660,5
59661,5
59662,1
59663,2
59664,3
59665,3
59666,4
59667,3
59668,2
59669,3
59670,3
59671,1
59672,1
59673,3
59674,1
59675,2
59676,2
59677,4
59678,3
59679,2
59680,1
59681,9
59682,2
59683,3
59684,5
59685,1
59686,3
59688,2
59689,2
59691,6
59692,2
59693,1
59695,4
59696,3
59697,9
59698,1
59699,2
59701,4
59702,3
59703,6
59704,1
59705,5
59706,3
59707,2
59709,1
59710,2
59711,3
59712,3
59713,3
59714,2
59715,4
59717,7
59718,2
59722,3
59723,1
59724,4
59725,3
59727,2
59728,3
59732,2
59734,5
59735,5
59736,3
59737,2
59740,2
59741,4
59742,2
59743,2
59746,1
59747,3
59749,2
59750,3
59751,2
59752,2
59755,2
59756,1
59757,1
59758,6
59759,9
59760,2
59761,2
59762,6
59764,2
59765,4
59768,10
59769,2
59770,1
59771,2
59772,2
59773,3
59774,5
59775,2
59777,3
59779,3
59780,2
59781,2
59782,3
59784,2
59785,2
59786,2
59788,2
59789,3
59790,5
59791,1
59792,4
59793,2
59795,2
59796,5
59797,4
59798,4
59799,2
59800,1
59802,2
59804,4
59810,2
59813,2
59818,5
59821,2
59822,2
59823,3
59824,4
59825,2
59828,1
59829,2
59840,2
59841,2
59861,4
59863,1
59866,2
59873,1
59874,1
59875,2
59878,2
59880,4
59885,3
59888,2
59889,3
59891,2
59894,2
59898,2
59900,2
59903,5
59906,2
59907,8
59914,2
59917,4
59920,1
59921,2
59924,2
59929,6
59930,2
59931,5
59933,2
59934,3
59935,6
59936,2
59937,6
59940,3
59941,2
59942,1
59946,4
59951,4
59955,4
59958,2
59959,2
59960,3
59962,2
59966,2
59967,1
59969,1
59970,4
59972,4
