leadId,dateCreated,callStarted,hoursSinceCall
59371,2021-03-05 02:10:05,2021-03-05 08:27:18,6
59371,2021-03-05 02:10:05,2021-03-05 08:27:34,6
59371,2021-03-05 02:10:05,2021-03-05 11:10:34,9
59371,2021-03-05 02:10:05,2021-03-05 14:33:26,12
59371,2021-03-05 02:10:05,2021-03-08 12:47:48,82
59371,2021-03-05 02:10:05,2021-03-08 12:47:51,82
59372,2021-03-05 04:08:34,2021-03-05 08:27:00,4
59372,2021-03-05 04:08:34,2021-03-05 08:27:12,4
59372,2021-03-05 04:08:34,2021-03-05 11:10:17,7
59372,2021-03-05 04:08:34,2021-03-05 14:32:04,10
59372,2021-03-05 04:08:34,2021-03-08 12:47:27,80
59372,2021-03-05 04:08:34,2021-03-09 13:06:10,104
59372,2021-03-05 04:08:34,2021-03-10 13:09:28,129
59372,2021-03-05 04:08:34,2021-03-11 13:11:17,153
59372,2021-03-05 04:08:34,2021-03-12 15:37:55,179
59372,2021-03-05 04:08:34,2021-03-12 15:38:12,179
59372,2021-03-05 04:08:34,2021-03-19 09:40:53,341
59372,2021-03-05 04:08:34,2021-03-24 13:39:42,465
59372,2021-03-05 04:08:34,2021-03-24 13:39:43,465
59372,2021-03-05 04:08:34,2021-04-01 12:33:07,656
59372,2021-03-05 04:08:34,2021-04-06 09:34:34,773
59372,2021-03-05 04:08:34,2021-04-07 13:42:17,801
59372,2021-03-05 04:08:34,2021-04-08 18:57:09,830
59372,2021-03-05 04:08:34,2021-04-13 10:18:30,942
59372,2021-03-05 04:08:34,2021-04-14 12:10:00,968
59373,2021-03-05 04:24:54,2021-03-05 08:24:47,3
59373,2021-03-05 04:24:54,2021-03-05 08:25:33,4
59373,2021-03-05 04:24:54,2021-03-05 11:09:42,6
59373,2021-03-05 04:24:54,2021-03-05 14:30:56,10
59373,2021-03-05 04:24:54,2021-03-08 12:47:21,80
59373,2021-03-05 04:24:54,2021-03-09 13:05:34,104
59373,2021-03-05 04:24:54,2021-03-10 13:09:10,128
59373,2021-03-05 04:24:54,2021-03-11 13:11:05,152
59373,2021-03-05 04:24:54,2021-03-12 15:37:47,179
59373,2021-03-05 04:24:54,2021-03-17 17:39:17,301
59373,2021-03-05 04:24:54,2021-03-19 09:40:35,341
59373,2021-03-05 04:24:54,2021-03-24 13:38:42,465
59373,2021-03-05 04:24:54,2021-03-27 12:31:44,536
59373,2021-03-05 04:24:54,2021-03-27 12:31:45,536
59373,2021-03-05 04:24:54,2021-04-06 09:34:16,773
